,Disciplina,Abreviação,Salas,? (1),PFD (2),Quantidade,,Tempo livre
,Administração de Sistemas Abertos,Adm-Sist-Abert,,-,-,6,,
,Administração de Sistemas Operacionais de Redes,AdmSOR,,-,-,0,,
,Administração de Sistemas Proprietários,Adm-Sist-Prop,,-,-,4,,
,Algoritmos,Algoritmos,,-,-,4,,
,Algoritmos e Técnicas de Programação,AlgoTecProgr,"Lab-Info-01, Lab-Info-02",-,-,0,,
,Análise e Projeto de Sistemas Web,Análise-Proj-Sist-WEB,,-,-,4,,
,Análise e Projeto de Sistemas WEB,APSW,,-,-,0,,
,Análise e Projeto Orientados a Objetos,APOO,,-,-,0,,
,Aplicações de Redes de Computadores,AplicRedes,,-,-,0,,
,Arquitetura de Redes de Computadores,Arq-Red-Comp,,-,-,8,,
,Arquitetura e Organização de Computadores,ArqOrgComput,,-,-,0,,
,Arquitetura TCP/IP,TCP/IP,Lab-Info-03,-,-,4,,
,"Arte, Sociedade e Cultura",Art-Soc-Cult,,-,-,4,,
,Artes 1,Artes 1,,-,-,0,,
,Artes 2,Artes 2,,-,-,8,,
,Artes 3,Artes 3,,-,-,0,,
,Autoria WEB,Aut-WEB,,-,-,4,,
,Banco de Dados,BD,,-,-,0,,
,Banco de Dados I,BDI,,-,-,0,,
,Biologia,Biologia,,-,-,28,,
,Cabeamento Estruturado e Redes de Acesso,Cab-Estrut-Red-Acess,,-,-,4,,
,CAD,CAD,,-,-,2,,
,Cálculo Diferencial e Integral,CalcDif,,-,-,0,,
,Centro de Aprendizagem,CA,,-,-,0,,
,Comandos Elétricos e Acionamentos de Máquinas,Com-Elétr-Acion-Máq,,-,-,12,,
,Comandos Eletrohidráulicos e Eletropneumáticos,Com-Eletr-Hidr-Eletr-Pneum,,-,-,10,,
,Comércio Eletrônico,ComEletr,,-,-,0,,
,Controladores Lógicos e Programáveis e Sistemas Supervisórios,Contr-Lóg-Prog-Sist-Superv,,-,-,10,,
,Corpo e Voz para Cena,Corp-Voz-Cena,,-,-,4,,
,Desenho Técnico Mecânico,Des-Téc-Mec,,-,-,12,,
,Desenvolvimento com Ferramentas RAD,DesnvRAD,,-,-,0,,
,Desenvolvimento de Sistemas Corporativos,DesenvSistCorp,,-,-,0,,
,Desenvolvimento para Dispositivos Móveis,Desenv-Disp-Móveis,,-,-,4,,
,Desenvolvimento WEB BACK-END,Desenv-WEB-BACK-END,,-,-,4,,
,Desenvolvimento WEB FRONT END,WEBFE,,-,-,0,,
