,Nome,Abreviação,Tipo,Sala fixa,Tempo livre
,Sala de Videoconferência,Videoconferência,,,
,Sala B-16,S16-B,,,
,Sala B-15,S15-B,,,
,Sala B-13,S13-B,,,
,Sala B-11,S11-B,,,
,Sala 10,S10,,,
,Sala 09,S09,,,
,Sala 08,S08,,,
,Sala 07,S07,,,
,Sala 06,S06,,,
,Sala 05,S05,,,
,Sala 04,S04,,,
,Sala 03,S03,,,
,Sala 02,S02,,,
,Sala 01,S01,,,
,Laboratório de Soldagem,Lab-Soldgaem,,,
,Laboratório de Robótica,Lab-Robótica,,,
,Laboratório de Redes,Lab-Redes,,,
,Laboratório de Química e Materiais,Lab-Quím-Materiais,,,
,Laboratório de Mecânica 02 Metrologia,Lab-Mec-2-Metro,,,
,Laboratório de Mecânica 01 Usinagem,Lab-Mec-1-Usin,,,
,Laboratório de Manutenção,Lab-Manutenção,,,
,Laboratório de Línguas,Lab-Línguas,,,
,Laboratório de Instrumentação,Lab-Instrument,,,
,Laboratório de Informática 04,Lab-Info-04,,,
,Laboratório de Informática 03,Lab-Info-03,,,
,Laboratório de Informática 02,Lab-Info-02,,,
,Laboratório de Informática 01,Lab-Info-01,,,
,Laboratório de Eletricidade e Eletrônica,Lab-Elet-Eletrôn,,,
,Laboratório de Comandos eletrohidráulicos e eletropneumáticos,Lab-Com-Elétr-Hidra-Pneum,,,
,Laboratório de Cabeamento Estruturado,Lab-Cab-Estrut,,,
,Laboratório de Acionamento de Máquinas,Lab-Acion-Máquinas,,,
,Laboratório Artes Cênicas,Lab-Art-Cênicas,,,
,Laboratório Academia de Redes de Computadores,Lab-Acad-Redes,,,
,Ginásio poliesportivo,Ginásio,,,
,EaD,EaD,,,
,Auditório,Auditório,,,
