Turma,Abreviação,Tempo livre,..2 (1),PFD (2),--| (3),Almoço,Divisões
Informática 1º ano matutino (Integrado),INT_INFO_1M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 1º ano vespertino (Integrado),INT_INFO_1V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 2º ano matutino (Integrado),INT_INFO_2M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 2º ano vespertino (Integrado),INT_INFO_2V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 3º ano matutino (Integrado),INT_INFO_3M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 3º ano vespertino (Integrado),INT_INFO_3V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 4º ano matutino (Integrado),INT_INFO_4M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Informática 4º ano vespertino (Integrado),INT_INFO_4V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Mecatrônica 1º ano matutino (Integrado),INT_MECA_1M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Mecatrônica 1º ano vespertino (Integrado),INT_MECA_1V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Mecatrônica 2º ano matutino (Integrado),INT_MECA_2M,Seg-Sex: 7-17,,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
Mecatrônica 2º ano vespertino (Integrado),INT_MECA_2V,"Seg-Sex: 1-6, 13-17",,,,,"Turma completa,Grupo 1, Grupo 2,Alunos, Alunas"
